NtryRef;AcctIBAN;BookgDt;ValDt;Amt;Ccy;CdtDbtInd;BkTxCd;CdtrDbtrNm;CdtrDbtrIBAN;RmtInf;AddtlNtryInf;MCC
URS-000023;CH1200778010203040506;2023-09-18;2023-09-18;158.05;CHF;DBIT;PMNT-CCRD-POSD;Fantasywelt Luzern;;;Einkauf Fantasywelt Luzern Luzern Karte xxxx 4821;5945
URS-000024;CH1200778010203040506;2023-09-18;2023-09-18;52.55;CHF;DBIT;PMNT-CCRD-POSD;Jelmoli;;;Einkauf Jelmoli Luzern Karte xxxx 4821;5651
URS-000025;CH1200778010203040506;2023-09-18;2023-09-18;42.20;CHF;DBIT;PMNT-CCRD-POSD;Migros;;;Einkauf Migros Luzern Karte xxxx 4821;5411
URS-000026;CH1200778010203040506;2023-09-18;2023-09-18;77.85;CHF;CRDT;PMNT-RCDT-ESCT;;;;TWINT *Empfangen von Laura Zimmermann;
URS-000027;CH1200778010203040506;2023-09-20;2023-09-20;188.80;CHF;CRDT;PMNT-RCDT-DMCT;Marktkasse Wochenmarkt Luzern;;;Gutschrift Marktkasse Wochenmarkt Luzern Käseverkauf;
URS-000028;CH1200778010203040506;2023-09-21;2023-09-21;62.60;CHF;DBIT;PMNT-CCRD-POSD;Coop;;;Einkauf Coop Luzern Karte xxxx 4821;5411
URS-000029;CH1200778010203040506;2023-09-22;2023-09-22;92.30;CHF;DBIT;PMNT-CCRD-POSD;Tankstelle Hafen Luzern;;;Einkauf Tankstelle Hafen Luzern Bootsbenzin Karte xxxx 2210;
URS-000030;CH1200778010203040506;2023-09-25;2023-09-25;180.00;CHF;DBIT;PMNT-CCRD-CWDL;;;;Bargeldbezug Postomat Luzern Bahnhof Karte xxxx 4821;6011
URS-000031;CH1200778010203040506;2023-09-25;2023-09-25;123.05;CHF;DBIT;PMNT-CCRD-POSD;Avia Tankstelle;;;Einkauf Avia Tankstelle Luzern Karte xxxx 4821;5541
URS-000032;CH1200778010203040506;2023-09-25;2023-09-25;55.40;CHF;DBIT;PMNT-CCRD-POSD;Coop;;;Einkauf Coop Luzern Karte xxxx 4821;5411
URS-000033;CH1200778010203040506;2023-09-25;2023-09-25;27.85;CHF;DBIT;PMNT-CCRD-POSD;Globus Delicatessa;;;Einkauf Globus Delicatessa Luzern Karte xxxx 4821;5411
URS-000034;CH1200778010203040506;2023-09-25;2023-09-25;268.35;CHF;CRDT;PMNT-RCDT-DMCT;Marktkasse Wochenmarkt Luzern;;;Gutschrift Marktkasse Wochenmarkt Luzern Käseverkauf;
URS-000035;CH1200778010203040506;2023-09-25;2023-09-25;10433.84;CHF;CRDT;PMNT-RCDT-SALA;Schindler Aufzüge AG;CH9300762011623852333;;Gutschrift Salär September 2023;
URS-000036;CH1200778010203040506;2023-09-26;2023-09-26;1000.00;CHF;DBIT;PMNT-ICDT-BOOK;;CH3400778010203040599;;Übertrag Sparkonto;
URS-000037;CH3400778010203040599;2023-09-26;2023-09-26;1000.00;CHF;CRDT;PMNT-RCDT-BOOK;;CH1200778010203040506;;Übertrag Sparkonto;
URS-000038;CH1200778010203040506;2023-09-27;2023-09-27;605.00;CHF;DBIT;PMNT-ICDT-STDO;Frankly Vorsorgestiftung 3a;;;Dauerauftrag Säule 3a;
URS-000039;CH1200778010203040506;2023-09-27;2023-09-27;131.10;CHF;DBIT;PMNT-CCRD-POSD;BP Tankstelle;;;Einkauf BP Tankstelle Luzern Karte xxxx 4821;5541
URS-000040;CH1200778010203040506;2023-09-27;2023-09-27;118.50;CHF;DBIT;PMNT-CCRD-POSD;Old Swiss House;;;Einkauf Old Swiss House Luzern Karte xxxx 4821;5812
URS-000041;CH1200778010203040506;2023-09-27;2023-09-27;102.80;CHF;DBIT;PMNT-CCRD-POSD;Tankstelle Hafen Luzern;;;Einkauf Tankstelle Hafen Luzern Bootsbenzin Karte xxxx 2210;
URS-000042;CH1200778010203040506;2023-09-27;2023-09-27;78.80;CHF;DBIT;PMNT-ICDT-ESCT;;;;TWINT *Sende an Beat Wicki;
URS-000043;CH1200778010203040506;2023-09-28;2023-09-28;2300.00;CHF;DBIT;PMNT-ICDT-STDO;Steueramt der Stadt Luzern;;;Dauerauftrag Steuern Rate;
URS-000044;CH1200778010203040506;2023-09-28;2023-09-28;484.05;CHF;CRDT;PMNT-RCDT-DMCT;Hofladen Sörenberg GmbH;;;Gutschrift Hofladen Sörenberg GmbH Käseverkauf;
URS-000045;CH1200778010203040506;2023-10-02;2023-10-02;2650.00;CHF;DBIT;PMNT-ICDT-STDO;Allgemeine Baugenossenschaft Luzern;;;Dauerauftrag Miete Haldenstrasse;
URS-000046;CH1200778010203040506;2023-10-02;2023-10-02;900.00;CHF;DBIT;PMNT-ICDT-STDO;Zimmermann Laura;;;Dauerauftrag Unterhalt Laura;
URS-000047;CH1200778010203040506;2023-10-04;2023-10-04;79.25;CHF;DBIT;PMNT-CCRD-POSD;Fantasywelt Luzern;;;Einkauf Fantasywelt Luzern Luzern Karte xxxx 4821;5945
URS-000048;CH1200778010203040506;2023-10-04;2023-10-04;176.15;CHF;CRDT;PMNT-RCDT-DMCT;Hofladen Sörenberg GmbH;;;Gutschrift Hofladen Sörenberg GmbH Käseverkauf;
URS-000049;CH1200778010203040506;2023-10-05;2023-10-05;518.00;CHF;DBIT;PMNT-IDDT-ESDD;Sanitas Grundversicherungen AG;;;LSV Prämie Grundversicherung;
URS-000050;CH1200778010203040506;2023-10-05;2023-10-05;105.40;CHF;DBIT;PMNT-CCRD-POSD;Migros;;;Einkauf Migros Luzern Karte xxxx 4821;5411
URS-000051;CH1200778010203040506;2023-10-05;2023-10-05;87.65;CHF;DBIT;PMNT-CCRD-POSD;Old Swiss House;;;Einkauf Old Swiss House Luzern Karte xxxx 4821;5812
URS-000052;CH1200778010203040506;2023-10-06;2023-10-06;46.05;CHF;DBIT;PMNT-CCRD-POSD;Manor Food;;;Einkauf Manor Food Luzern Karte xxxx 4821;5411
URS-000053;CH1200778010203040506;2023-10-09;2023-10-09;176.55;CHF;DBIT;PMNT-CCRD-POSD;Fantasywelt Luzern;;;Einkauf Fantasywelt Luzern Luzern Karte xxxx 4821;5945
URS-000054;CH1200778010203040506;2023-10-09;2023-10-09;118.60;CHF;DBIT;PMNT-CCRD-POSD;Games Workshop Luzern;;;Einkauf Games Workshop Luzern Luzern Karte xxxx 4821;5945
URS-000055;CH1200778010203040506;2023-10-09;2023-10-09;89.60;CHF;DBIT;PMNT-CCRD-POSD;Manor Food;;;Einkauf Manor Food Luzern Karte xxxx 4821;5411
URS-000056;CH1200778010203040506;2023-10-09;2023-10-09;65.00;CHF;DBIT;PMNT-IDDT-ESDD;Salt Mobile SA;;;LSV Salt Abo;
URS-000057;CH1200778010203040506;2023-10-09;2023-10-09;49.00;CHF;DBIT;PMNT-IDDT-ESDD;Swisscom (Schweiz) AG;;;LSV blue TV;
URS-000058;CH1200778010203040506;2023-10-11;2023-10-11;130.20;CHF;DBIT;PMNT-CCRD-POSD;Avia Tankstelle;;;Einkauf Avia Tankstelle Luzern Karte xxxx 4821;5541
URS-000059;CH1200778010203040506;2023-10-11;2023-10-11;22.60;CHF;DBIT;PMNT-CCRD-POSD;Globus Delicatessa;;;Einkauf Globus Delicatessa Luzern Karte xxxx 4821;5411
URS-000060;CH1200778010203040506;2023-10-12;2023-10-12;300.00;CHF;DBIT;PMNT-CCRD-CWDL;;;;Bargeldbezug Postomat Luzern Bahnhof Karte xxxx 4821;6011
URS-000061;CH1200778010203040506;2023-10-12;2023-10-12;115.55;CHF;DBIT;PMNT-CCRD-POSD;Avia Tankstelle;;;Einkauf Avia Tankstelle Luzern Karte xxxx 4821;5541
URS-000062;CH1200778010203040506;2023-10-13;2023-10-13;200.00;CHF;DBIT;PMNT-CCRD-CWDL;;;;Bargeldbezug Bancomat LUKB Schwanenplatz Karte xxxx 4821;6011
URS-000063;CH1200778010203040506;2023-10-13;2023-10-13;97.00;CHF;DBIT;PMNT-CCRD-POSD;Jelmoli;;;Einkauf Jelmoli Luzern Karte xxxx 4821;5651
URS-000064;CH1200778010203040506;2023-10-16;2023-10-16;327.90;CHF;DBIT;PMNT-ICDT-DMCT;Himalaya Käse Import GmbH;;;Zahlung Rechnung Yak-Käse Lieferung;
URS-000065;CH1200778010203040506;2023-10-16;2023-10-16;88.45;CHF;DBIT;PMNT-CCRD-POSD;Coop;;;Einkauf Coop Luzern Karte xxxx 4821;5411
URS-000066;CH1200778010203040506;2023-10-16;2023-10-16;79.60;CHF;DBIT;PMNT-CCRD-POSD;Globus Delicatessa;;;Einkauf Globus Delicatessa Luzern Karte xxxx 4821;5411
URS-000067;CH1200778010203040506;2023-10-16;2023-10-16;61.50;CHF;DBIT;PMNT-CCRD-POSD;Wirtshaus Galliker;;;Einkauf Wirtshaus Galliker Luzern Karte xxxx 4821;5812
URS-000068;CH1200778010203040506;2023-10-16;2023-10-16;56.05;CHF;DBIT;PMNT-ICDT-ESCT;;;;TWINT *Sende an Laura Zimmermann;
URS-000069;CH1200778010203040506;2023-10-16;2023-10-16;49.65;CHF;DBIT;PMNT-CCRD-POSD;Old Swiss House;;;Einkauf Old Swiss House Luzern Karte xxxx 4821;5812
URS-000070;CH1200778010203040506;2023-10-16;2023-10-16;38.55;CHF;DBIT;PMNT-CCRD-POSD;Coop;;;Einkauf Coop Luzern Karte xxxx 4821;5411
URS-000071;CH1200778010203040506;2023-10-17;2023-10-17;114.70;CHF;DBIT;PMNT-CCRD-POSD;Avia Tankstelle;;;Einkauf Avia Tankstelle Luzern Karte xxxx 4821;5541
URS-000072;CH1200778010203040506;2023-10-18;2023-10-18;373.20;CHF;DBIT;PMNT-IDDT-ESDD;Swisscard AECS GmbH;;;Lastschrift Swisscard AECS GmbH Monatsrechnung 09/2023;
URS-000073;CH1200778010203040506;2023-10-18;2023-10-18;38.50;CHF;DBIT;PMNT-CCRD-POSD;Old Swiss House;;;Einkauf Old Swiss House Luzern Karte xxxx 4821;5812
URS-000074;CH1200778010203040506;2023-10-19;2023-10-19;96.80;CHF;DBIT;PMNT-CCRD-POSD;Old Swiss House;;;Einkauf Old Swiss House Luzern Karte xxxx 4821;5812
URS-000075;CH1200778010203040506;2023-10-20;2023-10-20;1900.00;CHF;DBIT;PMNT-ICDT-DMCT;Bootswerft Kehrsiten AG;;;Zahlung Rechnung Winterlager Boot;
URS-000076;CH1200778010203040506;2023-10-20;2023-10-20;132.00;CHF;DBIT;PMNT-IDDT-ESDD;ewl energie wasser luzern;;;LSV Energie;
URS-000077;CH1200778010203040506;2023-10-20;2023-10-20;122.90;CHF;DBIT;PMNT-CCRD-POSD;Avia Tankstelle;;;Einkauf Avia Tankstelle Luzern Karte xxxx 4821;5541
URS-000078;CH1200778010203040506;2023-10-23;2023-10-23;155.45;CHF;DBIT;PMNT-CCRD-POSD;Jelmoli;;;Einkauf Jelmoli Luzern Karte xxxx 4821;5651
URS-000079;CH1200778010203040506;2023-10-23;2023-10-23;94.60;CHF;DBIT;PMNT-CCRD-POSD;Old Swiss House;;;Einkauf Old Swiss House Luzern Karte xxxx 4821;5812
URS-000080;CH1200778010203040506;2023-10-23;2023-10-23;31.20;CHF;DBIT;PMNT-CCRD-POSD;Globus;;;Einkauf Globus Luzern Karte xxxx 4821;5651
URS-000081;CH1200778010203040506;2023-10-23;2023-10-23;38.70;CHF;CRDT;PMNT-RCDT-ESCT;;;;TWINT *Empfangen von Beat Wicki;
URS-000082;CH1200778010203040506;2023-10-24;2023-10-24;50.65;CHF;DBIT;PMNT-CCRD-POSD;Globus Delicatessa;;;Einkauf Globus Delicatessa Luzern Karte xxxx 4821;5411
URS-000083;CH1200778010203040506;2023-10-24;2023-10-24;39.55;CHF;DBIT;PMNT-CCRD-POSD;Old Swiss House;;;Einkauf Old Swiss House Luzern Karte xxxx 4821;5812
URS-000084;CH1200778010203040506;2023-10-24;2023-10-24;32.80;CHF;DBIT;PMNT-CCRD-POSD;Migros;;;Einkauf Migros Luzern Karte xxxx 4821;5411
URS-000085;CH1200778010203040506;2023-10-25;2023-10-25;90.75;CHF;DBIT;PMNT-CCRD-POSD;Old Swiss House;;;Einkauf Old Swiss House Luzern Karte xxxx 4821;5812
URS-000086;CH1200778010203040506;2023-10-25;2023-10-25;10433.84;CHF;CRDT;PMNT-RCDT-SALA;Schindler Aufzüge AG;CH9300762011623852333;;Gutschrift Salär Oktober 2023;
URS-000087;CH1200778010203040506;2023-10-26;2023-10-26;1000.00;CHF;DBIT;PMNT-ICDT-BOOK;;CH3400778010203040599;;Übertrag Sparkonto;
URS-000088;CH1200778010203040506;2023-10-26;2023-10-26;46.20;CHF;DBIT;PMNT-CCRD-POSD;Migros;;;Einkauf Migros Luzern Karte xxxx 4821;5411
URS-000089;CH1200778010203040506;2023-10-26;2023-10-26;36.50;CHF;DBIT;PMNT-CCRD-POSD;Games Workshop Luzern;;;Einkauf Games Workshop Luzern Luzern Karte xxxx 4821;5945
URS-000090;CH3400778010203040599;2023-10-26;2023-10-26;1000.00;CHF;CRDT;PMNT-RCDT-BOOK;;CH1200778010203040506;;Übertrag Sparkonto;
URS-000091;CH1200778010203040506;2023-10-27;2023-10-27;605.00;CHF;DBIT;PMNT-ICDT-STDO;Frankly Vorsorgestiftung 3a;;;Dauerauftrag Säule 3a;
URS-000092;CH1200778010203040506;2023-10-27;2023-10-27;140.00;CHF;DBIT;PMNT-CCRD-CWDL;;;;Bargeldbezug Bancomat LUKB Schwanenplatz Karte xxxx 4821;6011
URS-000093;CH1200778010203040506;2023-10-30;2023-10-30;2300.00;CHF;DBIT;PMNT-ICDT-STDO;Steueramt der Stadt Luzern;;;Dauerauftrag Steuern Rate;
URS-000094;CH1200778010203040506;2023-10-30;2023-10-30;193.80;CHF;CRDT;PMNT-RCDT-DMCT;Marktkasse Wochenmarkt Luzern;;;Gutschrift Marktkasse Wochenmarkt Luzern Käseverkauf;
URS-000095;CH1200778010203040506;2023-11-01;2023-11-01;2650.00;CHF;DBIT;PMNT-ICDT-STDO;Allgemeine Baugenossenschaft Luzern;;;Dauerauftrag Miete Haldenstrasse;
URS-000096;CH1200778010203040506;2023-11-01;2023-11-01;900.00;CHF;DBIT;PMNT-ICDT-STDO;Zimmermann Laura;;;Dauerauftrag Unterhalt Laura;
URS-000097;CH1200778010203040506;2023-11-01;2023-11-01;230.25;CHF;DBIT;PMNT-CCRD-POSD;Galaxus;;;Einkauf Galaxus Luzern Karte xxxx 4821;5651
URS-000098;CH1200778010203040506;2023-11-01;2023-11-01;65.30;CHF;DBIT;PMNT-CCRD-POSD;Hotel Schweizerhof Restaurant;;;Einkauf Hotel Schweizerhof Restaurant Luzern Karte xxxx 4821;5812
URS-000099;CH1200778010203040506;2023-11-03;2023-11-03;300.00;CHF;DBIT;PMNT-CCRD-CWDL;;;;Bargeldbezug Postomat Luzern Bahnhof Karte xxxx 4821;6011
URS-000100;CH1200778010203040506;2023-11-03;2023-11-03;38.70;CHF;DBIT;PMNT-ICDT-ESCT;;;;TWINT *Sende an Beat Wicki;
URS-000101;CH1200778010203040506;2023-11-06;2023-11-06;518.00;CHF;DBIT;PMNT-IDDT-ESDD;Sanitas Grundversicherungen AG;;;LSV Prämie Grundversicherung;
URS-000102;CH1200778010203040506;2023-11-06;2023-11-06;109.20;CHF;DBIT;PMNT-CCRD-POSD;Avia Tankstelle;;;Einkauf Avia Tankstelle Luzern Karte xxxx 4821;5541
URS-000103;CH1200778010203040506;2023-11-06;2023-11-06;39.05;CHF;DBIT;PMNT-CCRD-POSD;Hotel Schweizerhof Restaurant;;;Einkauf Hotel Schweizerhof Restaurant Luzern Karte xxxx 4821;5812
URS-000104;CH1200778010203040506;2023-11-06;2023-11-06;29.85;CHF;DBIT;PMNT-CCRD-POSD;Manor Food;;;Einkauf Manor Food Luzern Karte xxxx 4821;5411
URS-000105;CH1200778010203040506;2023-11-06;2023-11-06;22.65;CHF;DBIT;PMNT-CCRD-POSD;Manor Food;;;Einkauf Manor Food Luzern Karte xxxx 4821;5411
URS-000106;CH1200778010203040506;2023-11-06;2023-11-06;123.70;CHF;CRDT;PMNT-RCDT-DMCT;Hofladen Sörenberg GmbH;;;Gutschrift Hofladen Sörenberg GmbH Käseverkauf;
URS-000107;CH1200778010203040506;2023-11-06;2023-11-06;175.30;CHF;CRDT;PMNT-RCDT-DMCT;Hofladen Sörenberg GmbH;;;Gutschrift Hofladen Sörenberg GmbH Käseverkauf;
URS-000108;CH1200778010203040506;2023-11-08;2023-11-08;67.70;CHF;DBIT;PMNT-CCRD-POSD;Wirtshaus Galliker;;;Einkauf Wirtshaus Galliker Luzern Karte xxxx 4821;5812
URS-000109;CH1200778010203040506;2023-11-08;2023-11-08;65.00;CHF;DBIT;PMNT-IDDT-ESDD;Salt Mobile SA;;;LSV Salt Abo;
URS-000110;CH1200778010203040506;2023-11-09;2023-11-09;91.95;CHF;DBIT;PMNT-CCRD-POSD;Hotel Schweizerhof Restaurant;;;Einkauf Hotel Schweizerhof Restaurant Luzern Karte xxxx 4821;5812
URS-000111;CH1200778010203040506;2023-11-09;2023-11-09;49.00;CHF;DBIT;PMNT-IDDT-ESDD;Swisscom (Schweiz) AG;;;LSV blue TV;
URS-000112;CH1200778010203040506;2023-11-09;2023-11-09;27.15;CHF;DBIT;PMNT-CCRD-POSD;Wirtshaus Galliker;;;Einkauf Wirtshaus Galliker Luzern Karte xxxx 4821;5812
URS-000113;CH1200778010203040506;2023-11-09;2023-11-09;49.45;CHF;CRDT;PMNT-RCDT-ESCT;;;;TWINT *Empfangen von Beat Wicki;
URS-000114;CH1200778010203040506;2023-11-10;2023-11-10;79.10;CHF;DBIT;PMNT-CCRD-POSD;Games Workshop Luzern;;;Einkauf Games Workshop Luzern Luzern Karte xxxx 4821;5945
URS-000115;CH1200778010203040506;2023-11-13;2023-11-13;126.60;CHF;DBIT;PMNT-CCRD-POSD;Manor Food;;;Einkauf Manor Food Luzern Karte xxxx 4821;5411
URS-000116;CH1200778010203040506;2023-11-13;2023-11-13;115.15;CHF;DBIT;PMNT-CCRD-POSD;BP Tankstelle;;;Einkauf BP Tankstelle Luzern Karte xxxx 4821;5541
URS-000117;CH1200778010203040506;2023-11-13;2023-11-13;95.00;CHF;DBIT;PMNT-CCRD-POSD;Hotel Schweizerhof Restaurant;;;Einkauf Hotel Schweizerhof Restaurant Luzern Karte xxxx 4821;5812
URS-000118;CH1200778010203040506;2023-11-13;2023-11-13;88.45;CHF;DBIT;PMNT-ICDT-ESCT;;;;TWINT *Sende an Laura Zimmermann;
URS-000119;CH1200778010203040506;2023-11-13;2023-11-13;78.20;CHF;DBIT;PMNT-CCRD-POSD;Old Swiss House;;;Einkauf Old Swiss House Luzern Karte xxxx 4821;5812
URS-000120;CH1200778010203040506;2023-11-13;2023-11-13;60.10;CHF;DBIT;PMNT-CCRD-POSD;Migros;;;Einkauf Migros Luzern Karte xxxx 4821;5411
URS-000121;CH1200778010203040506;2023-11-13;2023-11-13;59.90;CHF;DBIT;PMNT-CCRD-POSD;Games Workshop Luzern;;;Einkauf Games Workshop Luzern Luzern Karte xxxx 4821;5945
URS-000122;CH1200778010203040506;2023-11-13;2023-11-13;228.20;CHF;CRDT;PMNT-RCDT-DMCT;Hofladen Sörenberg GmbH;;;Gutschrift Hofladen Sörenberg GmbH Käseverkauf;
URS-000123;CH1200778010203040506;2023-11-14;2023-11-14;471.35;CHF;DBIT;PMNT-ICDT-DMCT;Himalaya Käse Import GmbH;;;Zahlung Rechnung Yak-Käse Lieferung;
URS-000124;CH1200778010203040506;2023-11-16;2023-11-16;96.95;CHF;DBIT;PMNT-CCRD-POSD;Manor Food;;;Einkauf Manor Food Luzern Karte xxxx 4821;5411
URS-000125;CH1200778010203040506;2023-11-16;2023-11-16;92.25;CHF;DBIT;PMNT-CCRD-POSD;Wirtshaus Galliker;;;Einkauf Wirtshaus Galliker Luzern Karte xxxx 4821;5812
URS-000126;CH1200778010203040506;2023-11-17;2023-11-17;385.25;CHF;DBIT;PMNT-CCRD-POSD;Jelmoli;;;Einkauf Jelmoli Luzern Karte xxxx 4821;5651
URS-000127;CH1200778010203040506;2023-11-17;2023-11-17;72.50;CHF;DBIT;PMNT-CCRD-POSD;Globus;;;Einkauf Globus Luzern Karte xxxx 4821;5651
URS-000128;CH1200778010203040506;2023-11-20;2023-11-20;180.00;CHF;DBIT;PMNT-CCRD-CWDL;;;;Bargeldbezug Postomat Luzern Bahnhof Karte xxxx 4821;6011
URS-000129;CH1200778010203040506;2023-11-20;2023-11-20;138.00;CHF;DBIT;PMNT-CCRD-POSD;Migros;;;Einkauf Migros Luzern Karte xxxx 4821;5411
URS-000130;CH1200778010203040506;2023-11-20;2023-11-20;51.30;CHF;DBIT;PMNT-ICDT-ESCT;;;;TWINT *Sende an Beat Wicki;
URS-000131;CH1200778010203040506;2023-11-23;2023-11-23;152.45;CHF;CRDT;PMNT-RCDT-DMCT;Marktkasse Wochenmarkt Luzern;;;Gutschrift Marktkasse Wochenmarkt Luzern Käseverkauf;
URS-000132;CH1200778010203040506;2023-11-24;2023-11-24;159.25;CHF;DBIT;PMNT-CCRD-POSD;Wirtshaus Galliker;;;Einkauf Wirtshaus Galliker Luzern Karte xxxx 4821;5812
URS-000133;CH1200778010203040506;2023-11-24;2023-11-24;266.85;CHF;CRDT;PMNT-RCDT-DMCT;Hofladen Sörenberg GmbH;;;Gutschrift Hofladen Sörenberg GmbH Käseverkauf;
URS-000134;CH1200778010203040506;2023-11-27;2023-11-27;1000.00;CHF;DBIT;PMNT-ICDT-BOOK;;CH3400778010203040599;;Übertrag Sparkonto;
URS-000135;CH1200778010203040506;2023-11-27;2023-11-27;605.00;CHF;DBIT;PMNT-ICDT-STDO;Frankly Vorsorgestiftung 3a;;;Dauerauftrag Säule 3a;
URS-000136;CH1200778010203040506;2023-11-27;2023-11-27;138.30;CHF;CRDT;PMNT-RCDT-DMCT;Marktkasse Wochenmarkt Luzern;;;Gutschrift Marktkasse Wochenmarkt Luzern Käseverkauf;
URS-000137;CH1200778010203040506;2023-11-27;2023-11-27;151.30;CHF;CRDT;PMNT-RCDT-DMCT;Hofladen Sörenberg GmbH;;;Gutschrift Hofladen Sörenberg GmbH Käseverkauf;
URS-000138;CH1200778010203040506;2023-11-27;2023-11-27;10433.84;CHF;CRDT;PMNT-RCDT-SALA;Schindler Aufzüge AG;CH9300762011623852333;;Gutschrift Salär November 2023;
URS-000139;CH3400778010203040599;2023-11-27;2023-11-27;1000.00;CHF;CRDT;PMNT-RCDT-BOOK;;CH1200778010203040506;;Übertrag Sparkonto;
URS-000140;CH1200778010203040506;2023-11-28;2023-11-28;2300.00;CHF;DBIT;PMNT-ICDT-STDO;Steueramt der Stadt Luzern;;;Dauerauftrag Steuern Rate;
URS-000141;CH1200778010203040506;2023-12-01;2023-12-01;2650.00;CHF;DBIT;PMNT-ICDT-STDO;Allgemeine Baugenossenschaft Luzern;;;Dauerauftrag Miete Haldenstrasse;
URS-000142;CH1200778010203040506;2023-12-01;2023-12-01;900.00;CHF;DBIT;PMNT-ICDT-STDO;Zimmermann Laura;;;Dauerauftrag Unterhalt Laura;
